"Offset","Length","Mnemonic","DataType","Name","Comment"
"0x459","0x1","??","undefined","",""
"0x45a","0x1","??","undefined","",""
"0x45b","0x1","??","undefined","",""
"0x45c","0x1","??","undefined","",""
"0x45d","0x1","??","undefined","",""
"0x45e","0x1","??","undefined","",""
"0x45f","0x1","??","undefined","",""
"0x460","0x1","??","undefined","",""
"0x461","0x1","??","undefined","",""
"0x462","0x1","??","undefined","",""
"0x463","0x1","??","undefined","",""
"0x464","0x1","??","undefined","",""
"0x465","0x1","??","undefined","",""
"0x466","0x1","??","undefined","",""
"0x467","0x1","??","undefined","",""
"0x468","0x8","dq","qword","",""
"0x470","0x4","ddw","dword","",""
"0x474","0x4","ddw","dword","",""
"0x478","0x4","ddw","dword","",""
"0x47c","0x1","??","undefined","",""
"0x47d","0x1","??","undefined","",""
"0x47e","0x1","??","undefined","",""
"0x47f","0x1","??","undefined","",""
"0x480","0x8","char *","char *","unknown_uuid",""
